Address,Amount,Bonus
0xd9d1aacf02583e048f1796793c1b3814ebfa5720,"25,418",0%
0x302d592d617ca7b997adaeb49ba41b83f0515866,"25,327",0%
0xc3d6fc45a8a495ee40acbd43c4e5a5c41eda8105,"25,214",0%
0xafeefc335df49c4445f18a3e91d28bda3d88d784,"24,610",0%
0xe9880d831d90aee8d70ecd4e9ac011af392e9037,"24,377",0%
0x3892088628920eba2bd5a89faf7f7bf08bb6af14,"23,961",0%
0x505cc136ab8b5105443ed98d52f5b0e39c04ec5c,"23,000",0%
0xd41d3f215844206bc2d6c4308545c907ecab3f6b,"21,568",0%
0xc326d237f8020e8599c5d11a7ac8cd3f33083e85,"21,568",0%
0x3e095e069071f432b4c995cddca68cbd89ff5522,"21,568",0%
0x7fb098c0ad15537ce95709b3df50286ad13c194a,"21,568",0%
0x84962039c59f8121e1e0cfeaa5aad81786958d81,"21,146",0%
0xe0e4b7663ff50533493afeff941d01546d821248,"20,000",0%
0x609b59779eacd929cb82d3e3bb06aa9036190a1b,"18,083",0%
0x9652ac0502dbd65948d28d468c328b0f3bb49365,"17,886",0%
0x625cf60d4fb23ced1f10176a04b854b1192f2376,"17,255",0%
0x14701bd0f9481e96adf38fac49074bc6e907634f,"16,176",0%
0x725655fe414c2c2c0c6b432dafb64a60b22263c1,"16,176",0%
0x08f6f29ea7b285c1f6f984ae33a6fdc55522e00f,"16,176",0%
0xa0fc306c023b51bf0c118acc7e160e9523b815a9,"16,176",0%
0x9d09e2d0ccc6270a1d534cba6a1272fc7033ab5c,"16,176",0%
0xb8a79871c8e2cadea84cc90310ef233bc764d5eb,"16,176",0%
0x1a8cf735feb93f8ad058fb31a517861472a19eea,"16,176",0%
0xc059bf39e1a7eb9df8a8606da5c86a4bfabf5421,"15,951",0%
0x6e3fd8a277d39b97ba16534819bdf7673d341a00,"15,316",0%
0xf3a2aa053f7a7098287c6175ebfacfa9995da819,"15,248",0%
0x9ec3b57abfd433977d58e06ffaeffa73896a3467,"13,749",0%
